tier_id(PK),game_id(FK),tier_name,min_mmr
T001,G001,Bronze,0
T002,G001,Silver,1000
T003,G001,Gold,1200
T004,G001,Platinum,1400
T005,G001,Diamond,1700
T006,G002,Bronze,0
T007,G002,Silver,500
T008,G002,Gold,700
T009,G002,Platinum,1200
T010,G002,Diamond,1500
T011,G003,Silver,800
T012,G003,Gold,1500
T013,G003,Master,2500
T014,G004,Herald,0
T015,G004,Guardian,1000
T016,G004,Crusader,2000
T017,G004,Archon,3000
T018,G004,Legend,4000
T019,G004,Ancient,5000
T020,G004,Divine,6000
T021,G004,Immortal,7000
T022,G005,Bronze,0
T023,G005,Silver,1000
T024,G005,Gold,2000
T025,G005,Platinum,3000
T026,G005,Diamond,4000
T027,G005,Master,5000
T028,G005,Grandmaster,6000
T029,G006,Bronze,0
T030,G006,Silver,1000
T031,G006,Gold,2000
T032,G006,Platinum,3000
T033,G006,Diamond,4000
T034,G006,Master,5000
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
